,date,open,volume_usdt,trade_count,volume_asset,asset_coin,base_coin,avg_trade_asset,avg_trade_usdt,delta_value,delta_range
4197,2020-03-17,4.4955,27191326.827661,91661.0,5828053.51,ETC,USDT,63.58269613030623,296.65099472688496,0.024290957624291048,0.6292
4198,2020-03-16,5.0427,35726079.229305,122835.0,8068832.27,ETC,USDT,65.68838091749095,290.84608807998535,-0.10787871576734678,1.0054999999999996
4199,2020-03-15,4.5862,20071292.254777,73429.0,4073907.86,ETC,USDT,55.48091162892045,273.3428516631985,0.10078060267759806,0.7589999999999995
4200,2020-03-14,4.8431,22770757.630724,91788.0,4844597.89,ETC,USDT,52.78029687976642,248.07989748903998,-0.052301212033614715,0.4264999999999999
4201,2020-03-13,3.7168,53410008.885233,225244.0,12608546.22,ETC,USDT,55.977278950826665,237.1206730711273,0.3030563925957814,2.2334
4202,2020-03-12,6.5966,50299245.05086,203369.0,10286772.98,ETC,USDT,50.581814239141664,247.32995220933378,-0.43655822696540636,3.0212999999999997
4203,2020-03-11,6.8236,25885938.25764,91952.0,3958747.16,ETC,USDT,43.05232251609536,281.51577189881675,-0.03391171815463975,0.7866
4204,2020-03-10,6.9302,21373287.840246,77235.0,3143822.4,ETC,USDT,40.70463390949699,276.73059934286266,-0.014674901157253777,0.3523999999999994
4205,2020-03-09,6.4429,49090532.278312,128195.0,7338011.54,ETC,USDT,57.241012051952104,382.9364037467296,0.07563364323518917,0.6724000000000006
4206,2020-03-08,7.8036,32108415.067348,92958.0,4635764.11,ETC,USDT,49.869447599991396,345.40776552150436,-0.17420165052027267,1.5753000000000004
4207,2020-03-07,8.2192,15114103.389571,42262.0,1892352.11,ETC,USDT,44.776681415929204,357.6286827308457,-0.05079569787813904,0.48020000000000085
4208,2020-03-06,8.175,17285008.497542,50719.0,2123489.33,ETC,USDT,41.867728661842705,340.79947352159945,0.005370030581039625,0.4407999999999994
4209,2020-03-05,7.938,23565305.199151,72085.0,2885865.82,ETC,USDT,40.03420711659846,326.9099701623222,0.0298311917359536,0.5089999999999995
4210,2020-03-04,8.478,27935507.420545,85784.0,3470789.53,ETC,USDT,40.45963734495943,325.64939173441434,-0.06368247228119832,0.9160999999999992
4211,2020-03-03,8.4563,33752541.223141,89826.0,4053136.67,ETC,USDT,45.12208792554494,375.7546948894641,0.0025897851306125254,0.5302000000000007
4212,2020-03-02,7.7379,35953337.904261,89736.0,4372343.71,ETC,USDT,48.72452204243559,400.6567921933338,0.09280295687460419,0.9703000000000008
4213,2020-03-01,7.3485,28265319.111045,81103.0,3679595.05,ETC,USDT,45.36940742019407,348.5113881242987,0.05254133496631976,0.5775000000000006
4214,2020-02-29,7.4514,16894519.175555,55682.0,2263216.2,ETC,USDT,40.64538270895442,303.410782219658,-0.01307136913868528,0.33589999999999964
4215,2020-02-28,7.7139,30941717.198476,95054.0,4138317.28,ETC,USDT,43.53648747028005,325.51725543876114,-0.03383502508458758,0.6664000000000003
4216,2020-02-27,7.6832,37188715.990986,114292.0,4814952.58,ETC,USDT,42.128518006509644,325.3833688358415,0.004347147022074061,0.7518999999999991
4217,2020-02-26,9.1733,58703813.398917,181019.0,7205349.06,ETC,USDT,39.80437998221181,324.2964186020086,-0.16253692782313886,2.0858000000000008
4218,2020-02-25,9.3514,21186824.363742,69236.0,2310554.59,ETC,USDT,33.372155959327515,306.0087868123809,-0.01894903436918527,0.5454000000000008
4219,2020-02-24,9.7439,24328690.059274,71972.0,2602786.04,ETC,USDT,36.163869838270436,338.0299291290224,-0.04062028551196128,0.7931999999999988
4220,2020-02-23,9.4868,23175054.142128,62588.0,2386262.3,ETC,USDT,38.12651466734837,370.27951272013803,0.02710081376228016,0.524700000000001
4221,2020-02-22,9.4267,23866620.912986,66071.0,2510552.67,ETC,USDT,37.99780039654311,361.226875830334,0.007330242820923423,0.44950000000000045
4222,2020-02-21,8.8824,38782468.185022,111894.0,4118156.7,ETC,USDT,36.80408869108263,346.60006957497274,0.06004007925785809,1.1029
4223,2020-02-20,8.8115,33199910.39091,117194.0,3797612.17,ETC,USDT,32.40449314811338,283.2901888399577,0.006661748850933436,0.7261000000000006
4224,2020-02-19,9.8631,28219911.811229,97884.0,3017740.67,ETC,USDT,30.829764517183605,288.2995363004066,-0.10646754063124157,1.2199999999999989
4225,2020-02-18,9.6831,38350494.018398,104473.0,4002950.69,ETC,USDT,38.31564796646023,367.08521836644877,0.018568433662773304,0.8490000000000002
4226,2020-02-17,9.562,66469775.707414,171210.0,7207884.57,ETC,USDT,42.09967040476608,388.2353583751767,0.012256850031374234,1.2407999999999983
4227,2020-02-16,10.3943,69443956.708117,190274.0,7096045.59,ETC,USDT,37.29382674458938,364.96818644752824,-0.07990918099342897,1.815900000000001
4228,2020-02-15,12.0066,64131408.169838,168170.0,5956360.84,ETC,USDT,35.418688470000596,381.34868389033716,-0.13326004031116231,2.3011999999999997
4229,2020-02-14,12.0495,25614031.020439,73158.0,2153356.85,ETC,USDT,29.434331857076465,350.1193447119795,-0.0033279389186273863,0.4034999999999993
4230,2020-02-13,12.2132,76491907.874987,168290.0,6326173.31,ETC,USDT,37.59090445065066,454.52437979076,-0.012953198179019486,2.0618999999999996
4231,2020-02-12,11.9585,42412319.984164,95241.0,3472891.06,ETC,USDT,36.4642439705589,445.3157777025021,0.02081364719655467,0.5185000000000013
4232,2020-02-11,11.8386,47880505.30649,113919.0,4044074.9,ETC,USDT,35.49956460291962,420.3030689041336,0.010254590914466346,0.5592000000000006
4233,2020-02-10,11.701,49904742.917063,121777.0,4249729.19,ETC,USDT,34.897634118101124,409.8043383977516,0.011768224938039383,0.7263999999999999
4234,2020-02-09,11.6965,35859242.327942,105417.0,3054471.27,ETC,USDT,28.97512991263269,340.16565001794777,0.000512973966571216,0.8727
4235,2020-02-08,11.6962,34872503.295972,93473.0,2989750.46,ETC,USDT,31.985177109967584,373.07568277440544,0.00018809527880851918,0.8386999999999993
4236,2020-02-07,12.1139,54406479.57625,127309.0,4633378.79,ETC,USDT,36.39474656151568,427.3576854444698,-0.03443977579474813,0.988900000000001
4237,2020-02-06,12.34,102179536.824271,217941.0,8405057.34,ETC,USDT,38.56574641760844,468.8403596582148,-0.018379254457050163,2.2531999999999996
4238,2020-02-05,11.4155,57746250.262452,119290.0,4822356.49,ETC,USDT,40.42548822198005,484.0829094010562,0.08050457711006968,1.3241999999999994
4239,2020-02-04,11.77,48891544.772123,121445.0,4272858.82,ETC,USDT,35.18348898678414,402.5817841172794,-0.030492778249787616,0.8379999999999992
4240,2020-02-03,11.364,58580017.639605,132967.0,4945289.0,ETC,USDT,37.191852113682344,440.56057246989855,0.036448433650123124,0.9337999999999997
4241,2020-02-02,11.5275,44474075.051804,111916.0,3871717.98,ETC,USDT,34.59485667822295,397.38799681729154,-0.014027325959661656,0.6080000000000005
4242,2020-02-01,11.3374,51677316.324334,138695.0,4495096.72,ETC,USDT,32.409940661162985,372.5968226996936,0.01682925538483245,0.7692999999999994
4243,2020-01-31,12.2872,79288075.897017,189310.0,6927747.23,ETC,USDT,36.59472415614601,418.82666471405105,-0.07725112311999488,1.6013000000000002
4244,2020-01-30,12.2282,111312642.951026,254864.0,9131565.77,ETC,USDT,35.82917073419549,436.7531034238888,0.004579578351678983,1.0466999999999995
4245,2020-01-29,11.3697,150637968.366404,359432.0,12337574.44,ETC,USDT,34.325197645173496,419.1000477598099,0.07505914843839333,1.5473
4246,2020-01-28,10.4229,126525458.835913,316697.0,11521471.14,ETC,USDT,36.38010824226311,399.5158111251859,0.09083844227614192,1.3427999999999987
4247,2020-01-27,9.1898,99646770.476019,260262.0,9777170.76,ETC,USDT,37.56664730156535,382.87099336829425,0.13344142418768637,2.0067000000000004
4248,2020-01-26,8.3903,32530685.794447,108369.0,3700026.35,ETC,USDT,34.14284850833726,300.1844235385304,0.0953124441319142,1.1493000000000002
4249,2020-01-25,8.6119,24098734.248872,88419.0,2870637.12,ETC,USDT,32.46629253893394,272.55153585623003,-0.025000290295985893,0.5500000000000007
4250,2020-01-24,8.4403,51302434.77518,179941.0,6109306.61,ETC,USDT,33.95172089740526,285.1069782605409,0.020319182967430065,1.0039999999999996
4251,2020-01-23,9.3459,42273901.447401,150609.0,4851643.93,ETC,USDT,32.21350603217603,280.6864227728821,-0.09670550722776837,1.2035999999999998
